;source;id;title;objectives
0;skyrim;55074;A Blade in the Dark;"Talk to Delphine 
Locate the dragon burial site 
Kill the Dragon Sahloknir 
Return to Delphine"
1;skyrim;55212;A Chance Arrangement;"Talk to Brynjolf about joining the Thieves Guild 
Meet Brynjolf during daytime 
Steal Madesi's ring from his strongbox 
Plant Madesi's ring 
Speak to Brynjolf"
2;skyrim;51114;A Cornered Rat;"Talk to Brynjolf 
Search the Ratway for Esbern's hideout 
Find Esbern in the Ratway Warrens 
Talk to Esbern"
3;skyrim;52017;A Daedra's Best Friend;"Talk with Barbas 
Travel with Barbas to the shrine of Clavicus Vile 
Join Barbas outside Haemar's Shame 
Retrieve the Rueful Axe with Barbas 
Return to the shrine of Clavicus Vile with Barbas and the Rueful Axe 
Give the Rueful Axe to Clavicus Vile or kill Barbas with the Rueful Axe 
Speak to Clavicus Vile"
4;skyrim;63392;A False Front (Imperials);"Find the Stormcloak courier 
Retrive the Stormcloak courier's package 
Bring the documents to Legate Rikke 
Bring the forged documents to Frorkmar Banner-Torn"
5;skyrim;75581;A False Front (Stormcloaks);"Find the Imperial courier 
Retrieve the Imperial courier's package 
Bring the documents to Galmar Stone-Fist 
Bring the forged documents to Legate Taurinus Duilis"
6;skyrim;117461;A Few Words with You;"Talk to the indebted person about the debtor 
Tell the debtor that the indebted person is taken care of"
7;skyrim;95283;A Love Beyond Death;Kill Lu'ah Al-Skaven in Ansilvund
8;skyrim;125063;A Lovely Letter;"Deliver Faendal's (If the Dragonborn started the quest with Sven: ""Sven's"") letter to Camilla 
Tell Sven about Faendal's (If the Dragonborn started the quest with Sven: ""Sven's"") letter (optional) 
Talk to Faendal/Sven"
9;skyrim;58910;A Night to Remember (Skyrim);"Participate in a drinking contest with Sam Guevenne 
Find Sam Guevenne 
Find the staff 
Help clean up the Temple of Dibella (if the priestess was not successfully persuaded or bribed) 
Apologize to the Priestess of Dibella (if the priestess was not successfully persuaded or bribed) 
Ask about Sam and the staff in Rorikstead 
Find Gleda the Goat (if Ennis was not successfully bribed, persuaded, or intimidated) 
Bring Gleda the Goat back to Ennis in Rorikstead (if Ennis was not successfully bribed, persuaded, or intimidated) 
Talk to Ysolda in Whiterun about the staff 
Find the wedding ring in Witchmist Grove (if Ysolda was not successfully bribed, persuaded, or intimidated) 
Take the wedding ring (if Ysolda was not successfully bribed, persuaded, or intimidated) 
Return the wedding ring to Ysolda in Whiterun (if Ysolda was not successfully bribed, persuaded, or intimidated) 
Head to Morvunskar 
Search Morvunskar for Sam and the staff"
10;skyrim;65436;A Return To Your Roots;"Discover the significance of Crimson Nirnroot 
Collect 30 Crimson Nirnroot in Blackreach 
Bring 30 Crimson Nirnroot to Avrusa Sarethi"
11;skyrim;71505;A Scroll For Anska;"Find and return Anska's scroll to her 
Help Anska retrieve her scroll 
Return the scroll to Anska"
12;skyrim;67064;Aftershock;"Close the Rupture 
Return to Tolfdir"
13;skyrim;54448;Alduin's Bane;"Read the Elder Scroll at the Time-Wound 
Learn the ""Dragonrend"" Shout from the Nord heroes 
Defeat Alduin"
14;skyrim;44496;Alduin's Wall (Quest);"Escort Esbern to Riverwood 
Talk to Esbern 
Gain entrance to Sky Haven Temple 
Learn the secrets of Alduin's Wall"
15;skyrim;71574;Alteration Ritual Spell;"Use Kavohzein's Fang to collect Heartscales 
Bring Dragon Heartscales to Tolfdir"
16;skyrim;55149;Amren's Sword;"Find Amren's Family Sword inside the bandit hideout 
Return Amren's Family Sword to Amren"
17;skyrim;962994;Amulet of the Moon;"Find the Moon Amulet inside the dungeon 
Return the Moon Amulet to Kharjo"
18;skyrim;68157;Ancestral Worship;"Protect Golldir (optional) 
Defeat Vals Veran 
Speak to Golldir (if alive)"
19;skyrim;395704;Andurs' Arkay Amulet;"Recover Andurs' Amulet of Arkay 
Return the amulet to Andurs"
20;skyrim;62516;Animal Extermination;"Kill the beast 
Return to Aela"
21;skyrim;79359;Argonian Ale Extraction;"Steal the Argonian Ale 
Give the Argonian Ale to Brenuin"
22;skyrim;101828;Argonian Dock Workers;"Talk to Torbjorn Shatter-Shield about Scouts-Many-Marshes 
Tell Scouts-Many-Marshes that Torbjorn Shatter-Shield is taken care of"
23;skyrim;58680;Arniel's Endeavor;"Deliver ten cogs to Arniel Gane 
Speak to Enthir 
Acquire the Staff 
Deliver the staff of Enthir 
Talk to Arniel 
Place the warped soul gem into a Convecter 
Heat the Convector 
Retrieve the soul gem 
Place the warped soul gem into another Convector 
Heat the Convector 
Retrieve the soul gem 
Place the warped soul gem into a final Convector 
Heat the Convector 
Retrieve the soul gem 
Deliver the soul gem to Arniel 
Talk to Enthir 
Find the courier 
Deliver the package to Arniel 
Observe Arniel's experiment"
24;skyrim;97986;Ashore in a Sea of Ghosts;"Explore Yngol's Barrow 
Escape Yngol's Barrow"
25;skyrim;68456;Battle for Solitude;"Get your orders from Ulfric Stormcloak 
Force General Tullius to surrender 
Execute General Tullius"
26;skyrim;59615;Battle for Whiterun (Imperial);"Meet with Legate Rikke 
Defend the barricades 
Defend the drawbridge 
Destroy attackers"
