source;id;title;objectives;objectives_entities
skyrim;55074;A Blade in the Dark;"Talk to Delphine 
Locate the dragon burial site 
Kill the Dragon Sahloknir 
Return to Delphine";Talk to xperx Locate the dragon burial site xorgx the xmiscx Sahloknir Return to xperx
skyrim;55212;A Chance Arrangement;"Talk to Brynjolf about joining the Thieves Guild 
Meet Brynjolf during daytime 
Steal Madesi's ring from his strongbox 
Plant Madesi's ring 
Speak to Brynjolf";Talk to xperx about joining the Thieves Guild Meet xperx during daytime Steal xorgx 's ring from his strongbox Plant xorgx 's ring Speak to xperx
skyrim;51114;A Cornered Rat;"Talk to Brynjolf 
Search the Ratway for Esbern's hideout 
Find Esbern in the Ratway Warrens 
Talk to Esbern";Talk to xperx Search the xlocx for xperx 's hideout xmiscx xperx in the xlocx Warrens Talk to xperx
skyrim;52017;A Daedra's Best Friend;"Talk with Barbas 
Travel with Barbas to the shrine of Clavicus Vile 
Join Barbas outside Haemar's Shame 
Retrieve the Rueful Axe with Barbas 
Return to the shrine of Clavicus Vile with Barbas and the Rueful Axe 
Give the Rueful Axe to Clavicus Vile or kill Barbas with the Rueful Axe 
Speak to Clavicus Vile";Talk with xperx Travel with xperx to the shrine xmiscx Clavicus Vile Join xperx outside Haemar 's Shame Retrieve the Rueful Axe with xperx Return to the shrine xmiscx Clavicus Vile with xperx xorgx the Rueful Axe Give the Rueful Axe to Clavicus Vile or kill xperx with the Rueful Axe Speak to Clavicus Vile
skyrim;63392;A False Front (Imperials);"Find the Stormcloak courier 
Retrive the Stormcloak courier's package 
Bring the documents to Legate Rikke 
Bring the forged documents to Frorkmar Banner-Torn";xmiscx the xorgx courier Retrive the xorgx courier 's package Bring the documents to Legate xperx Bring the forged documents to Frorkmar Banner-Torn
skyrim;75581;A False Front (Stormcloaks);"Find the Imperial courier 
Retrieve the Imperial courier's package 
Bring the documents to Galmar Stone-Fist 
Bring the forged documents to Legate Taurinus Duilis";xmiscx the xmiscx courier Retrieve the xmiscx courier 's package Bring the documents to xorgx Stone-Fist Bring the forged documents to Legate Taurinus Duilis
skyrim;117461;A Few Words with You;"Talk to the indebted person about the debtor 
Tell the debtor that the indebted person is taken care of";Talk to the indebted person about the debtor Tell the debtor that the indebted person is taken care xmiscx
skyrim;95283;A Love Beyond Death;Kill Lu'ah Al-Skaven in Ansilvund;xorgx Lu'ah Al-Skaven in xlocx
skyrim;125063;A Lovely Letter;"Deliver Faendal's (If the Dragonborn started the quest with Sven: ""Sven's"") letter to Camilla 
Tell Sven about Faendal's (If the Dragonborn started the quest with Sven: ""Sven's"") letter (optional) 
Talk to Faendal/Sven";Deliver xperx 's ( If the xmiscx started the quest with xperx : `` xperx 's '' ) letter to xperx Tell xperx about xperx 's ( If the xmiscx started the quest with xperx : `` xperx 's '' ) letter ( optional ) Talk to Faendal/Sven
skyrim;58910;A Night to Remember (Skyrim);"Participate in a drinking contest with Sam Guevenne 
Find Sam Guevenne 
Find the staff 
Help clean up the Temple of Dibella (if the priestess was not successfully persuaded or bribed) 
Apologize to the Priestess of Dibella (if the priestess was not successfully persuaded or bribed) 
Ask about Sam and the staff in Rorikstead 
Find Gleda the Goat (if Ennis was not successfully bribed, persuaded, or intimidated) 
Bring Gleda the Goat back to Ennis in Rorikstead (if Ennis was not successfully bribed, persuaded, or intimidated) 
Talk to Ysolda in Whiterun about the staff 
Find the wedding ring in Witchmist Grove (if Ysolda was not successfully bribed, persuaded, or intimidated) 
Take the wedding ring (if Ysolda was not successfully bribed, persuaded, or intimidated) 
Return the wedding ring to Ysolda in Whiterun (if Ysolda was not successfully bribed, persuaded, or intimidated) 
Head to Morvunskar 
Search Morvunskar for Sam and the staff";Participate in a drinking contest with xperx Guevenne xmiscx xperx Guevenne xmiscx the staff Help clean up the xlocx xmiscx xlocx ( if the priestess was not successfully persuaded or bribed ) Apologize to the Priestess xmiscx xlocx ( if the priestess was not successfully persuaded or bribed ) Ask about xperx xorgx the staff in xlocx xmiscx xperx the Goat ( if xperx was not successfully bribed , persuaded , or intimidated ) Bring xperx the Goat back to xperx in xlocx ( if xperx was not successfully bribed , persuaded , or intimidated ) Talk to xperx in xlocx about the staff xmiscx the wedding ring in Witchmist Grove ( if xperx was not successfully bribed , persuaded , or intimidated ) Take the wedding ring ( if xperx was not successfully bribed , persuaded , or intimidated ) Return the wedding ring to xperx in xlocx ( if xperx was not successfully bribed , persuaded , or intimidated ) Head to xlocx Search xlocx for xperx xorgx the staff
skyrim;65436;A Return To Your Roots;"Discover the significance of Crimson Nirnroot 
Collect 30 Crimson Nirnroot in Blackreach 
Bring 30 Crimson Nirnroot to Avrusa Sarethi";Discover the significance xmiscx Crimson Nirnroot Collect 30 Crimson Nirnroot in Blackreach Bring 30 Crimson Nirnroot to Avrusa Sarethi
skyrim;71505;A Scroll For Anska;"Find and return Anska's scroll to her 
Help Anska retrieve her scroll 
Return the scroll to Anska";xmiscx xorgx return xperx 's scroll to her Help xperx retrieve her scroll Return the scroll to xperx
skyrim;67064;Aftershock;"Close the Rupture 
Return to Tolfdir";Close the Rupture Return to xorgx
skyrim;54448;Alduin's Bane;"Read the Elder Scroll at the Time-Wound 
Learn the ""Dragonrend"" Shout from the Nord heroes 
Defeat Alduin";Read the xmiscx Scroll at the Time-Wound Learn the `` xmiscx '' Shout from the xmiscx heroes Defeat xorgx
